FileName|EntryType|SeqNbr|PostDate|AccountNumber|Description|SourceDescription|Indicator|Reference|Posted|GrossSales|SalesReturns
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191684|2|01/14/2013|5085986818|TOENLKI IKUQGHJ|1|Yes||Yes|4277.50|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201482|2|01/16/2013|4980117019|MNY BXQ|1|Yes||No|119596.24|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201486|2|01/16/2013|1675964576|TUW FZU|1|No||Yes|204.44|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201488|2|01/16/2013|4070447707|QVY WVI|1|Yes||Yes|97248.32|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201492|2|01/16/2013|5901784648|BEM TNG|1|No||Yes|96.28|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|202906|2|01/17/2013|4705202419|GHC EZC|1|Yes||Yes|09.96|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191676|2|01/14/2013|1656268173|YLEOJSF ILJUCZQ|1|Yes||Yes|9436.88|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201490|2|01/16/2013|3555076584|RRA FHY|1|Yes||Yes|393.74|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201495|2|01/16/2013|1994042408|NLD YIJ|1|Yes||Yes|446.15|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201496|2|01/16/2013|1816184060|WGK ALF|1|Yes||Yes|304.57|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201499|2|01/16/2013|2726425901|QQN LFZ|1|Yes||Yes|86.01|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201500|2|01/16/2013|2004263975|RKT BQB|1|Yes||Yes|3186.98|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201502|2|01/16/2013|4864189690|QUV NJT|1|No||Yes|1157.72|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201504|2|01/16/2013|4582712143|QAW JJM|1|Yes||No|3648.62|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201506|2|01/16/2013|2062107155|KZN KTI|1|Yes||No|5613.88|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201508|2|01/16/2013|5353783999|MJL JSW|1|No||Yes|1509.70|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201510|2|01/16/2013|4961873358|EVB YAE|1|Yes||Yes|107.54|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201512|2|01/16/2013|4933832108|SQL QNY|1|Yes||Yes|7614.96|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|297571|2|02/26/2013|4852971285|EEO LAEUZ|1|No||Yes|1824.37|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201514|2|01/16/2013|3517474593|SFH YIJ|1|No||Yes|6939.49|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201516|2|01/16/2013|1650585504|FVJ EDJ|1|No||Yes|25180.59|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201518|2|01/16/2013|5059829559|JCI HIL|1|No||Yes|317738.41|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|202882|2|01/17/2013|3184536751|TIV JPK|1|No||Yes|57711.04|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201522|2|01/16/2013|4329447393|MWL CYD|1|No||Yes|89204.35|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|202884|2|01/17/2013|5570531576|AZV UNU|1|Yes||Yes|50454.20|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191682|2|01/14/2013|1820672461|GCKOZFG TMSCKBQ|1|Yes||Yes|511.83|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201520|2|01/16/2013|4140099655|LBQ NZN|1|Yes||Yes|30320.51|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201524|2|01/16/2013|5589444439|NVR LIH|1|Yes||Yes|8233.61|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201526|2|01/16/2013|4746903212|LNM SPJ|1|Yes||Yes|389.10|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201528|2|01/16/2013|5674799509|ECQ YAW|1|Yes||Yes|59322.30|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201530|2|01/16/2013|3619009221|NZI VQO|1|Yes||No|9.55|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201532|2|01/16/2013|1731849384|BHA KIM|1|Yes||Yes|14416.68|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201536|2|01/16/2013|4571753309|KZD OML|1|No||Yes|8894.55|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201534|2|01/16/2013|3009486640|OTH WLA|1|Yes||Yes|12.71|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201538|2|01/16/2013|3484349949|TUN NTN|1|Yes||Yes|10.53|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201540|2|01/16/2013|2447554338|IXX QDQ|1|Yes||Yes|2094.16|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201544|2|01/16/2013|5720075203|YYI SAT|1|No||No|4649.14|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201542|2|01/16/2013|4328000106|ZOR NHF|1|Yes||Yes|63.29|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201546|2|01/16/2013|2343476904|IVB ACD|1|Yes||Yes|399731.28|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201548|2|01/16/2013|4819464989|IQL PIZ|1|No||Yes|598216.89|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201552|2|01/16/2013|3483562951|YYM RRE|1|Yes||Yes|7223.20|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201550|2|01/16/2013|1796152645|DNN MTW|1|Yes||Yes|88025.51|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201554|2|01/16/2013|5645509504|TSB XSI|1|No||Yes|99.76|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201556|2|01/16/2013|2252988184|IRD ARC|1|No||Yes|2705.24|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201562|2|01/16/2013|5030639913|KTK GBS|1|Yes||No|86870.21|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|202886|2|01/17/2013|4589654367|WAY PHP|1|No||No|652.21|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201566|2|01/16/2013|3923850182|RJW EVH|1|Yes||Yes|675.38|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201564|2|01/16/2013|4005543986|WMQ VIR|1|Yes||Yes|682.39|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201568|2|01/16/2013|2196234980|THA MAS|1|Yes||Yes|3610.93|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201570|2|01/16/2013|3317853286|JOF ZPH|1|No||Yes|92762.79|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201576|2|01/16/2013|4783891770|BXC YZM|1|Yes||Yes|15916.03|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191678|2|01/14/2013|3228123970|RTVIOTA JSUMMGT|1|Yes||Yes|6738.16|
